
U	S3046957	3F/7F	1,180萬元	1,180萬元	21年	4房2廳	26.59坪	26.59坪	無	新北市三重區-三民街	三民街極美華廈$屋主狠心降價了$	Sun Apr 10 10:10:28 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3046957	=HYPERLINK(N56)	
U	S3012075	1F/4F	1,198萬元	1,198萬元	38年	開放式格局	20.26坪	20.26坪	無	新北市三重區-大同北路	大同北路1樓~門口可停車	Sun Apr 10 10:10:30 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3012075	=HYPERLINK(N57)	
U	S3010797	5F/13F	1,190萬元	1,190萬元	4年	2房1廳	23.06坪	23.06坪	平面式停車位，已含售金內	新北市三重區-忠孝路二段	立信景觀兩房車(124)	Sun Apr 10 10:10:30 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3010797	=HYPERLINK(N58)	
U	S2943587	4F/12F	998萬元	998萬元	17年	2房2廳	22.055坪	22.055坪	無	菜寮捷運 新北市三重區-重新路四段	捷運方正邊間3面採光~低公設15%	Sun Apr 10 10:10:31 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2943587	=HYPERLINK(N59)	
U	S3046981	6F/14F	1,198萬元	1,198萬元	19年	2房2廳	31.88坪	31.88坪	機械式停車位，已含售金內	金枝玉葉 新北市三重區-重新路三段	菜寮捷運藝術公園兩房車	Sun Apr 10 10:10:33 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3046981	=HYPERLINK(N60)	
U	S3012306	4F/7F	1,080萬元	1,080萬元	17年	3房2廳	26.8坪	26.8坪	無	龍門世家 新北市三重區-仁昌街	捷運三重國小站邊間電梯	Sun Apr 10 10:10:37 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3012306	=HYPERLINK(N61)	
U	S3053033	2F/15F	1,050萬元	1,050萬元	2年	2房1廳	25.046坪	25.046坪	無	和峰 新北市三重區-仁政街	和峰全新二房-153大家房屋蘆洲捷運	Sun Apr 10 10:10:38 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3053033	=HYPERLINK(N62)	
U	S3061581	6F/12F	938萬元	938萬元	20年	2房2廳	19.02坪	19.02坪	無	7-11電梯兩房 新北市三重區-龍門路	★新婚電梯兩房◇143H	Sun Apr 10 10:10:39 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3061581	=HYPERLINK(N63)	
U	S3035543	2F/27F	988萬元	988萬元	19年	2房1廳	28.6坪	28.6坪	無	佳昌大都會 新北市三重區-成功路	降~首購電梯邊間兩房~不用1000萬~	Sun Apr 10 10:10:41 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3035543	=HYPERLINK(N64)	
U	S3062076	2F/15F	898萬元	898萬元	1年	2房1廳	18.71坪	18.71坪	無	蒲陽和峰 新北市三重區-仁政街	『捷運全新電梯二房』蒲陽和峰	Sun Apr 10 10:10:45 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3062076	=HYPERLINK(N65)	
U	S3036640	12F/12F	988萬元	988萬元	7年	1房1廳	16.556坪	16.556坪	無	和旺風閣 新北市三重區-重新路四段	機場捷運（三重站）挑高3米6品味裝潢美屋	Sun Apr 10 10:10:47 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3036640	=HYPERLINK(N66)	
U	S2991976	2F/15F	1,050萬元	1,050萬元	1年	2房1廳	25.046坪	25.046坪	無	蒲陽合峰 新北市三重區-仁政街	和峰全新二房-大家房屋蘆洲黃艷秋	Sun Apr 10 10:10:48 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2991976	=HYPERLINK(N67)	
U	S3048781	2F/15F	1,160萬元	1,160萬元	1年	2房1廳	25.04坪	25.04坪	無	* 新北市三重區-仁政街	(93)全新屋~電梯2房	Sun Apr 10 10:10:48 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3048781	=HYPERLINK(N68)	
U	S3028272	3F/13F	1,080萬元	1,080萬元	3年	2房1廳	16.246坪	16.246坪	無	摩宿 新北市三重區-中正南路	三重菜寮摩宿正兩房~住商長春何昆懋~	Sun Apr 10 10:10:49 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3028272	=HYPERLINK(N69)	
U	S3026611	4F/15F	928萬元	928萬元	6年	1房1廳	15.937坪	15.937坪	無	及第金站 新北市三重區-龍門路	及第金站收租美套~住商長春何昆懋~	Sun Apr 10 10:10:50 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3026611	=HYPERLINK(N70)	
U	S3024242	14F/17F	889萬元	889萬元	5年	1房1廳	16.47坪	16.47坪	無	冠德美麗新境 新北市三重區-重新路五段	捷運共構宅~美麗新境高樓景觀~到站即到家	Sun Apr 10 10:10:53 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3024242	=HYPERLINK(N71)	
U	S3001099	13F/27F	1,198萬元	1,198萬元	18年	3房2廳	26.6坪	26.6坪	無	新北市三重區-成功路	三重站景觀漂亮屋~價可談~正雄服務您安心	Sun Apr 10 10:10:53 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3001099	=HYPERLINK(N72)	
U	S2943711	4F/36F	1,198萬元	1,198萬元	8年	2房2廳	24.99坪	24.99坪	無	麗寶之星T1 新北市三重區-中正南路	麗寶之星景觀屋~鋼骨雙制震~出價就談	Sun Apr 10 10:10:54 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2943711	=HYPERLINK(N73)	
U	S2979819	7F/13F	998萬元	998萬元	2年	2房1廳	16.25坪	16.25坪	無	摩宿 新北市三重區-中正南路	捷運全新挑高4米2景觀大樓	Sun Apr 10 10:10:55 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2979819	=HYPERLINK(N74)	
U	S2824343	4F/13F	930萬元	930萬元	2年	1房1廳	16.25坪	16.25坪	無	摩宿 新北市三重區-中正南路	捷運挑高4米2全新大樓~出價就談	Sun Apr 10 10:10:56 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2824343	=HYPERLINK(N75)	
