
N	S3001962	14F/14F	990萬元	990萬元	7年	3房2廳	42.41坪	42.41坪	平面式停車位，已含售金內	活力Doble 新北市汐止區-新台五路二段	新婚夫妻首選	Tue May 03 16:22:39 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3001962	=HYPERLINK(N76)	
N	S3094804	9F/23F	1,198萬元	1,198萬元	17年	2房2廳	30.474坪	30.474坪	無	登峰天廈 新北市汐止區-大同路二段	國泰登峰天下優質2房	Tue May 03 16:22:39 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3094804	=HYPERLINK(N77)	
N	S3086182	11F/14F	1,170萬元	1,170萬元	6年	2房2廳	24.57坪	24.57坪	無	新南港雙站 新北市汐止區-工建路	雙站小資絕美兩房鄰大同路-王君昊	Tue May 03 16:22:40 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3086182	=HYPERLINK(N78)	
P	S3100544	3F/5F	1,088萬元	1,088萬元	34年	3房2廳	27.53坪	27.53坪	無	新北市汐止區-弘道街	近南港展覽館白雲國小旁弘道邊間3房	Tue May 03 16:22:41 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3100544	=HYPERLINK(N79)	
N	S3051597	5F/7F	880萬元	880萬元	20年	3房2廳	34.267坪	34.267坪	無	和平華廈 新北市汐止區-和平街	汐止車站對面《電梯大３房》輕鬆首購成家	Tue May 03 16:22:41 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3051597	=HYPERLINK(N80)	
N	S3072927	9F/14F	1,088萬元	1,088萬元	21年	3房2廳	29.62坪	29.62坪	無	明峰電梯 新北市汐止區-明峰街	【出價就談】明峰裝潢電梯三房~急售	Tue May 03 16:22:42 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3072927	=HYPERLINK(N81)	
N	S3023972	6F/18F	1,100萬元	1,100萬元	6年	2房2廳	25.47坪	25.47坪	無	國家交響樂 新北市汐止區-仁愛路	仁愛路～火車站～國家交響樂採光2房	Tue May 03 16:22:42 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3023972	=HYPERLINK(N82)	
N	S3079406	11F/15F	1,200萬元	1,200萬元	23年	2房1廳	33.09坪	33.09坪	無	凱歌社區 新北市汐止區-樟樹二路	359樟樹凱歌2+1房邊間方正採光好	Tue May 03 16:22:43 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3079406	=HYPERLINK(N83)	
P	S3068184	4F/5F	1,198萬元	1,198萬元	30年	5房0廳	31.66坪	31.66坪	無	新北市汐止區-建成路	國泰醫院建成商圈滿租收租屋	Tue May 03 16:22:44 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3068184	=HYPERLINK(N84)	
N	S3107957	8F/8F	1,050萬元	1,050萬元	15年	2房2廳	26.324坪	26.324坪	無	新北市汐止區-工建路	愛快台北景觀電梯華廈三改二房	Tue May 03 16:22:44 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3107957	=HYPERLINK(N85)	
P	S3114104	4F/5F	880萬元	880萬元	30年	3房2廳	28.54坪	28.54坪	無	新北市汐止區-樟樹一路	樟樹裝潢屋-{全國東湖菁英}	Tue May 03 16:22:45 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3114104	=HYPERLINK(N86)	
N	S3068181	7F/11F	1,088萬元	1,088萬元	3年	2房1廳	25.57坪	25.57坪	無	早安清境 新北市汐止區-南興路	早安清境無敵景觀,面保護區,近遠雄	Tue May 03 16:22:45 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3068181	=HYPERLINK(N87)	
N	S3086156	3F/9F	899萬元	899萬元	18年	2房2廳	24.66坪	24.66坪	無	新台北人 新北市汐止區-福德二路	稀有華廈小資兩房鄰中興路-王君昊	Tue May 03 16:22:46 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3086156	=HYPERLINK(N88)	
N	S3086145	8F/9F	1,150萬元	1,150萬元	20年	2房2廳	34.92坪	34.92坪	平面式停車位，已含售金內	康寧郡 新北市汐止區-康寧街	美妝兩房車鄰中興路湖前街-王君昊	Tue May 03 16:22:47 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3086145	=HYPERLINK(N89)	
