
N	S3051185	6F/15F	1,080萬元	1,080萬元	19年	2房2廳	22.32坪	22.32坪	無	仁愛巨星 新北市汐止區-福安街	巨星精緻二房	Wed May 04 22:00:30 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3051185	=HYPERLINK(N45)	
N	S3058418	4F/8F	950萬元	950萬元	21年	2房2廳	24.3坪	24.3坪	無	香榭巴黎 新北市汐止區-福德一路	汐止Lily~專約~香榭巴黎通風大2房	Wed May 04 22:00:30 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3058418	=HYPERLINK(N46)	
N	S2992147	2F/22F	1,050萬元	1,050萬元	19年	3房2廳	37.6坪	37.6坪	無	日月光 新北市汐止區-康寧街	[汐止Lily]~專約日月光3房~洽談中	Wed May 04 22:00:31 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2992147	=HYPERLINK(N47)	
N	S3103427	13F/13F	988萬元	988萬元	20年	2房2廳	34.04坪	34.04坪	平面式停車位，已含售金內	哈佛社區 新北市汐止區-樟樹二路	汐止河景哈佛兩房車位	Wed May 04 22:00:32 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3103427	=HYPERLINK(N48)	
N	S3038662	17F/17F	1,188萬元	1,188萬元	18年	3房2廳	32.2坪	32.2坪	平面式停車位，已含售金內	Me時代 新北市汐止區-建成路	就是要這個FU	Wed May 04 22:00:33 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3038662	=HYPERLINK(N49)	
N	S3065912	11F/25F	1,150萬元	1,150萬元	19年	3房2廳	38.04坪	38.04坪	無	日月光 新北市汐止區-康寧街	C-28日月光景觀屋	Wed May 04 22:00:34 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3065912	=HYPERLINK(N50)	
N	S3072843	4F/24F	1,150萬元	1,150萬元	21年	3房2廳	31.88坪	31.88坪	無	宏國大鎮 新北市汐止區-大同路二段	汐科★宏國大鎮極品3房	Wed May 04 22:00:36 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3072843	=HYPERLINK(N51)	
N	S3093910	5F/13F	1,088萬元	1,088萬元	22年	3房2廳	32.01坪	32.01坪	無	哈佛社區 新北市汐止區-樟樹二路	(汐止恩豪)推薦哈佛便宜免整理三房	Wed May 04 22:00:36 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3093910	=HYPERLINK(N52)	
P	S3077499	3F/4F	888萬元	888萬元	36年	4房0廳	18.979坪	18.979坪	無	新北市汐止區-招商街	低總價汐止車站商圈~穩定收租屋	Wed May 04 22:00:37 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3077499	=HYPERLINK(N53)	
N	S3068089	3F/7F	898萬元	898萬元	23年	3房2廳	26.33坪	26.33坪	無	招商華廈 新北市汐止區-招商街	汐止火車站商圈華廈3房	Wed May 04 22:00:38 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3068089	=HYPERLINK(N54)	
N	S3103413	4F/7F	1,190萬元	1,190萬元	21年	2房2廳	31.948坪	31.948坪	無	東築華廈 新北市汐止區-福德一路	汐止區福德一路東築華廈2+1房	Wed May 04 22:00:39 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3103413	=HYPERLINK(N55)	
N	S2952719	4F/6F	1,120萬元	1,120萬元	24年	3房2廳	35.35坪	35.35坪	無	忠孝綠洲 新北市汐止區-樟樹一路	交通方便生活機能佳屋主自售誠意出價可談	Wed May 04 22:00:39 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2952719	=HYPERLINK(N56)	
P	S3069589	3F/5F	888萬元	888萬元	35年	3房2廳	31.512坪	31.512坪	無	新北市汐止區-長江街	長江三樓美寓	Wed May 04 22:00:40 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3069589	=HYPERLINK(N57)	
N	S3075617	1F/7F	980萬元	980萬元	22年	4房2廳	36.53坪	36.53坪	無	大慶原鄉 新北市汐止區-鄉長路二段	大慶原鄉稀有低總價一樓庭院四房~近火車站	Wed May 04 22:00:42 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3075617	=HYPERLINK(N58)	
N	S3057631	5F/16F	928萬元	928萬元	21年	2房2廳	23.25坪	23.25坪	無	世電社區 新北市汐止區-福德二路	中興路麥當勞商圈世電超美二房	Wed May 04 22:00:42 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3057631	=HYPERLINK(N59)	
N	S3093842	14F/16F	1,088萬元	1,088萬元	20年	3房2廳	30.59坪	30.59坪	無	牛津社區 新北市汐止區-樟樹二路	真想賣牛津高樓河景美3房稀有釋出	Wed May 04 22:00:43 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3093842	=HYPERLINK(N60)	
N	S3075496	7F/7F	1,188萬元	1,188萬元	18年	4房2廳	37.3坪	37.3坪	平面式停車位，已含售金內	中研一期 新北市汐止區-東勢街	近南港展覽館中研山莊五米景觀屋	Wed May 04 22:00:44 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3075496	=HYPERLINK(N61)	
N	S3097027	15F/16F	898萬元	898萬元	19年	2房2廳	27.26坪	27.26坪	無	生活大國 新北市汐止區-福德一路	小家庭裝潢兩房	Wed May 04 22:00:45 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3097027	=HYPERLINK(N62)	
N	S3110331	6F/7F	880萬元	880萬元	19年	2房2廳	23.25坪	23.25坪	無	黎明山水 新北市汐止區-中正路	稀有華廈方正大二房~採光明亮~歡迎賞屋~	Wed May 04 22:00:46 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3110331	=HYPERLINK(N63)	
N	S3099745	13F/14F	988萬元	988萬元	7年	2房1廳	22.5坪	22.5坪	無	長堤 新北市汐止區-福德一路	長堤明亮兩房	Wed May 04 22:00:46 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3099745	=HYPERLINK(N64)	
N	S3093843	12F/20F	1,080萬元	1,080萬元	18年	3房2廳	27.16坪	27.16坪	無	台北水都 新北市汐止區-工建路	真想賣水都高樓河景小三房稀有釋出	Wed May 04 22:00:47 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3093843	=HYPERLINK(N65)	
N	S2988518	6F/7F	888萬元	888萬元	22年	3房2廳	35.95坪	35.95坪	平面式停車位，已含售金內	天池 新北市汐止區-鄉長路二段	////美美挑高精美裝潢屋////	Wed May 04 22:00:48 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2988518	=HYPERLINK(N66)	
N	S3101002	8F/15F	998萬元	998萬元	5年	3房2廳	38.14坪	38.14坪	無	森泉灣 新北市汐止區-保長路	///美美森泉灣////	Wed May 04 22:00:48 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3101002	=HYPERLINK(N67)	
